order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-102825,2026-04-26,South,Kochi,Wireless Earbuds Pro,Electronics,1,3088,3088,CUST-42165,Website
UK-2026-103457,2026-05-26,North,Chandigarh,Electric Kettle 1.5L,Home & Kitchen,1,1078,1078,CUST-85559,App
UK-2026-100566,2026-01-23,West,Surat,Foldable Treadmill T2,Sports,1,25472,25472,CUST-87297,Marketplace
UK-2026-100620,2026-01-21,West,Surat,Matte Lipstick Set,Beauty,2,940,1880,CUST-33669,App
UK-2026-103272,2026-05-09,East,Kolkata,Smart Watch X2,Electronics,1,4347,4347,CUST-46362,App
UK-2026-101452,2026-03-31,North,Delhi,Mixer Grinder 750W,Home & Kitchen,1,3337,3337,CUST-73540,App
UK-2026-102590,2026-04-06,Central,Bhopal,Cotton Kurta Set,Fashion,4,1310,5240,CUST-70375,App
UK-2026-100251,2026-01-29,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,2,2895,5790,CUST-40265,App
UK-2026-100595,2026-01-06,North,Gurugram,Wireless Earbuds Pro,Electronics,1,2854,2854,CUST-71843,Marketplace
UK-2026-102356,2026-04-17,South,Bengaluru,Foldable Treadmill T2,Sports,1,24929,24929,CUST-64137,Website
UK-2026-102121,2026-03-04,South,Kochi,Robot Vacuum R7,Home & Kitchen,2,18952,37904,CUST-49896,Website
UK-2026-100057,2026-01-04,South,Kochi,Vitamin C Serum,Beauty,2,681,1362,CUST-99654,App
UK-2026-100586,2026-01-15,North,Noida,Mirrorless Camera Lite,Electronics,2,27855,55710,CUST-88350,Website
UK-2026-103346,2026-05-02,South,Chennai,Smart Watch X2,Electronics,1,4600,4600,CUST-64196,App
UK-2026-103105,2026-05-26,Central,Nagpur,Silk Saree,Fashion,1,3489,3489,CUST-80323,Marketplace
UK-2026-101571,2026-03-23,West,Ahmedabad,Cotton Bedsheet Set,Home & Kitchen,2,1350,2700,CUST-31463,App
UK-2026-104679,2026-06-20,Central,Nagpur,Smart Watch X2,Electronics,1,4363,4363,CUST-26314,Marketplace
UK-2026-102479,2026-04-07,West,Pune,Ultrabook Air 14,Electronics,2,31482,62964,CUST-12855,App
UK-2026-103059,2026-04-15,East,Guwahati,Non-Stick Cookware Set,Home & Kitchen,1,2954,2954,CUST-34909,App
UK-2026-104879,2026-06-13,South,Kochi,Bluetooth Speaker Mini,Electronics,1,1451,1451,CUST-83929,Marketplace
UK-2026-104657,2026-06-25,South,Chennai,Bluetooth Speaker Mini,Electronics,3,1547,4641,CUST-78399,Marketplace
UK-2026-102743,2026-04-05,West,Pune,Gym Gloves,Sports,1,507,507,CUST-86256,App
UK-2026-103901,2026-05-14,West,Pune,Silk Saree,Fashion,1,3327,3327,CUST-77230,App
UK-2026-104397,2026-06-22,West,Pune,Leather Wallet,Fashion,1,927,927,CUST-73839,App
UK-2026-103471,2026-05-13,South,Bengaluru,Ultrabook Air 14,Electronics,1,31014,31014,CUST-81225,Website
UK-2026-100482,2026-01-15,South,Hyderabad,Power Bank 20000mAh,Electronics,1,1761,1761,CUST-89296,App
