order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-102067,2026-03-10,Central,Nagpur,Running Sneakers,Fashion,1,2691,2691,CUST-12690,Website
UK-2026-102724,"Apr 9, 2026",West,Surat,Mirrorless Camera Lite,Electronics,1,29519,29519,CUST-51717,Website
UK-2026-100257,2026-01-31,West,Surat,Electric Kettle 1.5L,Home & Kitchen,1,1112,1112,CUST-96349,Website
UK-2026-103342,2026-05-17,West,Mumbai,Ultrabook Air 14,Electronics,1,31070,31070,CUST-13176,Marketplace
UK-2026-101085,2026-02-05,North,Delhi,Silk Saree,Fashion,1,3344,3344,CUST-73548,Website
UK-2026-102225,2026-03-10,West,Surat,Leather Wallet,Fashion,2,883,1766,CUST-14911,App
UK-2026-101933,2026-03-16,North,Noida,Face Wash Combo,Beauty,1,461,461,CUST-19680,App
UK-2026-104814,2026-06-24,North,Delhi,Face Wash Combo,Beauty,1,456,456,CUST-27891,App
UK-2026-102807,2026-04-07,Central,Raipur,Noise-Cancelling Headphones,Electronics,2,8637,17274,CUST-51124,App
UK-2026-100903,2026-02-14,West,Surat,Beard Grooming Kit,Beauty,1,995,995,CUST-51052,Website
UK-2026-102756,2026-04-06,South,Bengaluru,Vitamin C Serum   ,Beauty,2,679,1358,CUST-42062,Website
UK-2026-102448,2026-04-11,East,Bhubaneswar,Ionic Hair Dryer,Beauty,1,1840,1840,CUST-71231,Website
UK-2026-102419,2026-04-05,South,Chennai,Matte Lipstick Set,Beauty,2,894,1788,CUST-19250,App
UK-2026-100553,2026-01-10,North,Chandigarh,Bluetooth Speaker Mini,Electronics,1,1522,1522,CUST-31373,Website
UK-2026-102049,2026-03-02,South,Chennai,Air Fryer 5L,Home & Kitchen,1,5667,5667,CUST-81848,App
UK-2026-104059,2026-06-06,West,Mumbai,Air Fryer 5L,Home & Kitchen,1,5656,5656,CUST-47211,Website
UK-2026-104261,2026-06-12,North,Chandigarh,Air Fryer 5L,Home & Kitchen,1,5675,,CUST-97284,App
UK-2026-100854,2026-02-05,Central,Nagpur,Modern Wall Clock,Home & Kitchen,1,828,828,CUST-79986,App
UK-2026-102852,2026-04-29,East,Guwahati,43-inch Smart TV,Electronics,2,26216,52432,CUST-63648,Marketplace
UK-2026-103588,2026-05-13,South,Hyderabad,Running Sneakers,Fashion,1,2669,"₹2,669",CUST-79223,App
UK-2026-103375,2026-05-31,West,Ahmedabad,Face Wash Combo,Beauty,2,452,904,CUST-22961,App
UK-2026-100751,2026-02-01,Central,Indore,Leather Wallet,Fashion,1,925,925,CUST-12487,App
UK-2026-103726,2026-05-28,East,Kolkata,Mixer Grinder 750W,Home & Kitchen,2,3136,6272,CUST-93583,Marketplace
UK-2026-101268,2026-02-25,West,Ahmedabad,Ultrabook Air 14,Electronics,1,29469,29469,CUST-83646,App
UK-2026-103097,2026-05-25,South,Kochi,43-inch Smart TV,Electronics,1,26201,26201,CUST-27562,App
UK-2026-101379,2026-02-25,East,Kolkata,Robot Vacuum R7,Home & Kitchen,2,19244,38488,CUST-54483,Website
UK-2026-104358,2026-06-07,West,Pune,Cotton Kurta Set,Fashion,4,1262,5048,CUST-97049,Website
UK-2026-102632,2026-04-28,Central,Indore,Cotton Bedsheet Set,Home & Kitchen,1,1420,1420,CUST-52479,App
UK-2026-103442,2026-05-10,North,Chandigarh,Formal Shirt,Fashion,1,1117,1117,CUST-10034,App
